voisins,Search,Voisin1,Voisin2,Voisin3,Voisin4,Voisin5,movieId,imdbId
"[0, 2142, 1579, 5832, 434, 3668]",0,2142,1579,5832,434,3668,1,114709
"[1, 2400, 1355, 1124, 29, 483]",1,2400,1355,1124,29,483,2,113497
"[2, 14499, 7643, 13226, 15356, 15255]",2,14499,7643,13226,15356,15255,3,113228
"[3, 14908, 13226, 1841, 4248, 15356]",3,14908,13226,1841,4248,15356,4,114885
"[4, 13226, 14499, 7643, 15356, 15255]",4,13226,14499,7643,15356,15255,5,113041
"[5, 2138, 8749, 313, 2058, 12094]",5,2138,8749,313,2058,12094,6,113277
"[6, 3770, 3568, 13226, 102, 13812]",6,3770,3568,13226,102,13812,8,112302
"[7, 652, 338, 1912, 6366, 6277]",7,652,338,1912,6366,6277,9,114576
"[8, 2115, 1133, 4123, 2782, 2045]",8,2115,1133,4123,2782,2045,10,113189
"[9, 321, 11740, 1849, 6795, 6321]",9,321,11740,1849,6795,6321,11,112346
"[10, 2076, 11489, 8858, 3143, 6123]",10,2076,11489,8858,3143,6123,12,112896
"[11, 6753, 14208, 5532, 13798, 13226]",11,6753,14208,5532,13798,13226,13,112453
"[12, 1138, 12419, 492, 2022, 11561]",12,1138,12419,492,2022,11561,14,113987
"[13, 311, 2419, 8858, 442, 13226]",13,311,2419,8858,442,13226,15,112760
"[14, 796, 5405, 310, 4213, 11509]",14,796,5405,310,4213,11509,16,112641
"[15, 6795, 1849, 1136, 14837, 11521]",15,6795,1849,1136,14837,11521,17,114388
"[16, 7643, 13226, 6378, 11509, 13349]",16,7643,13226,6378,11509,13349,18,113101
"[17, 171, 250, 2594, 311, 13226]",17,171,250,2594,311,13226,19,112281
"[18, 3196, 8843, 881, 4243, 2904]",18,3196,8843,881,4243,2904,20,113845
"[19, 7643, 6378, 13226, 14779, 11509]",19,7643,6378,13226,14779,11509,21,113161
"[20, 8843, 9085, 10261, 11068, 1934]",20,8843,9085,10261,11068,1934,22,112722
"[21, 10261, 5174, 12269, 8843, 15623]",21,10261,5174,12269,8843,15623,23,112401
"[22, 1463, 13610, 11068, 8843, 15516]",22,1463,13610,11068,8843,15516,24,114168
"[23, 1849, 6795, 14837, 748, 11521]",23,1849,6795,14837,748,11521,25,113627
"[24, 13226, 540, 14208, 11740, 1849]",24,13226,540,14208,11740,1849,27,114011
"[25, 764, 14536, 7818, 2698, 1463]",25,764,14536,7818,2698,1463,29,112682
"[26, 6274, 6318, 5400, 2262, 7666]",26,6274,6318,5400,2262,7666,30,115012
"[27, 11509, 8843, 2106, 15027, 7568]",27,11509,8843,2106,15027,7568,31,112792
"[28, 2773, 39, 13610, 13453, 14837]",28,2773,39,13610,13453,14837,32,114746
"[29, 1, 483, 1605, 229, 1463]",29,1,483,1605,229,1463,34,112431
"[30, 7075, 1849, 492, 390, 748]",30,7075,1849,492,390,748,35,112637
"[31, 11509, 14837, 2191, 6795, 15349]",31,11509,14837,2191,6795,15349,36,112818
"[32, 13226, 14379, 15356, 7643, 14499]",32,13226,14379,15356,7643,14499,38,113442
"[33, 11740, 1849, 15255, 14499, 7643]",33,11740,1849,15255,14499,7643,39,112697
"[34, 11740, 1849, 6795, 9761, 15349]",34,11740,1849,6795,9761,15349,40,112749
"[35, 8843, 2022, 7171, 11509, 4374]",35,8843,2022,7171,11509,4374,42,112819
"[36, 1110, 8858, 13151, 479, 11702]",36,1110,8858,13151,479,11702,44,113855
"[37, 1463, 8843, 2897, 11509, 5655]",37,1463,8843,2897,11509,5655,45,114681
"[38, 14908, 12053, 1841, 14499, 7643]",38,14908,12053,1841,14499,7643,46,113347
"[39, 437, 2021, 28, 8883, 704]",39,437,2021,28,8883,704,47,114369
"[40, 1231, 483, 14385, 7182, 2489]",40,1231,483,14385,7182,2489,48,114148
"[41, 748, 1849, 6795, 1882, 15580]",41,748,1849,6795,1882,15580,49,114916
"[42, 7272, 5799, 1751, 909, 14837]",42,7272,5799,1751,909,14837,50,114814
"[43, 1463, 13308, 11740, 1849, 15255]",43,1463,13308,11740,1849,15255,52,113819
"[44, 6315, 11740, 1849, 6610, 9948]",44,6315,11740,1849,6610,9948,53,110299
"[45, 13226, 3770, 6916, 14393, 186]",45,13226,3770,6916,14393,186,54,112499
"[46, 6403, 15514, 10336, 11509, 11433]",46,6403,15514,10336,11509,11433,55,113158
"[47, 14908, 14499, 1841, 15255, 7643]",47,14908,14499,1841,15255,7643,57,113321
"[48, 11740, 7176, 3683, 6321, 6795]",48,11740,7176,3683,6321,6795,58,110877
"[49, 3770, 13226, 1022, 14208, 6753]",49,3770,13226,1022,14208,6753,60,113419
"[50, 8843, 11509, 10261, 3536, 2251]",50,8843,11509,10261,3536,2251,61,116260
"[51, 8282, 14208, 14837, 6403, 1079]",51,8282,14208,14837,6403,1079,62,113862
"[52, 7643, 13226, 13349, 2828, 11509]",52,7643,13226,13349,2828,11509,63,116126
"[53, 13226, 15356, 14499, 7643, 15255]",53,13226,15356,14499,7643,15255,64,118002
"[54, 7621, 9517, 6707, 13226, 11502]",54,7621,9517,6707,13226,11502,65,115683
"[55, 11908, 12152, 8858, 14530, 11502]",55,11908,12152,8858,14530,11502,66,116839
"[56, 696, 14208, 13226, 14837, 11509]",56,696,14208,13226,14837,11509,67,114753
"[57, 2419, 7643, 13226, 6592, 1033]",57,2419,7643,13226,6592,1033,68,113149
"[58, 11740, 7643, 12614, 15349, 14837]",58,11740,7643,12614,15349,14837,69,113118
"[59, 8843, 6378, 14552, 7643, 15202]",59,8843,6378,14552,7643,15202,70,116367
"[60, 10196, 11740, 1849, 4881, 15255]",60,10196,11740,1849,4881,15255,72,113537
"[61, 748, 1849, 15580, 14837, 6795]",61,748,1849,15580,14837,6795,74,115644
"[62, 13226, 8843, 3196, 7621, 11489]",62,13226,8843,3196,7621,11489,75,115676
"[63, 9159, 14552, 448, 12012, 8843]",63,9159,14552,448,12012,8843,76,114367
"[64, 8843, 4243, 3196, 8961, 11509]",64,8843,4243,3196,8961,11509,78,112744
"[65, 8843, 11509, 10261, 15027, 4243]",65,8843,11509,10261,15027,4243,79,116731
"[66, 13226, 11740, 6795, 1849, 4093]",66,13226,11740,6795,1849,4093,80,112445
"[67, 8843, 8961, 11509, 748, 4226]",67,8843,8961,11509,748,4226,81,114660
"[68, 15349, 9949, 11740, 2265, 693]",68,15349,9949,11740,2265,693,82,112379
"[69, 1849, 6795, 748, 14837, 6403]",69,1849,6795,748,14837,6403,85,112365
"[70, 14837, 14864, 11509, 13812, 13300]",70,14837,14864,11509,13812,13300,86,118158
"[71, 13226, 311, 1965, 3770, 4599]",71,13226,311,1965,3770,4599,87,116151
"[72, 10261, 8843, 3196, 4243, 11509]",72,10261,8843,3196,4243,11509,89,113972
"[73, 8843, 14552, 11068, 12010, 14593]",73,8843,14552,11068,12010,14593,92,117002
"[74, 562, 8858, 311, 11502, 9290]",74,562,8858,311,11502,9290,93,114825
"[75, 11740, 1849, 15255, 14499, 1841]",75,11740,1849,15255,14499,1841,94,115639
"[76, 5400, 6331, 6795, 15349, 6606]",76,5400,6331,6795,15349,6606,97,113247
"[77, 3529, 3196, 8843, 10261, 9088]",77,3529,3196,8843,10261,9088,98,111173
"[78, 3920, 696, 8843, 56, 11509]",78,3920,696,8843,56,11509,100,115907
"[79, 6795, 1236, 11740, 6321, 1849]",79,6795,1236,11740,6321,1849,101,115734
"[80, 311, 7621, 1913, 9517, 6707]",80,311,7621,1913,9517,6707,102,117102
"[81, 7643, 13226, 3108, 1467, 14393]",81,7643,13226,3108,1467,14393,104,116483
"[82, 748, 1849, 9510, 15580, 1841]",82,748,1849,9510,15580,1841,105,112579
"[83, 13226, 3770, 7643, 3964, 15554]",83,13226,3770,7643,3964,15554,107,117110
"[84, 1564, 3621, 11887, 13992, 1689]",84,1564,3621,11887,13992,1689,110,112573
"[85, 5405, 4213, 15022, 13653, 7272]",85,5405,4213,15022,13653,7272,111,75314
"[86, 956, 1960, 2753, 570, 578]",86,956,1960,2753,570,578,112,113326
